image_id,source_type,source_path,ig_post_number,ig_carousel_index,camera_original_id,mapping_status,shot_at,orientation,visual_facts,people_status,privacy_status,body_role,visible_in_ig_card,lightbox_group,final_caption,needs_owner_confirmation
20241027_145635,camera,masters/2024-australia/day-01/20241027_145635.jpg,,,,not_applicable,2024-10-27 14:56:35,portrait,QVB 中庭的機械大鐘與古典拱廊,無清晰人物,OK,body_story,false,sydney-harbour-portrait,QVB 中庭的機械大鐘與古典拱廊,false
20241027_150054,camera,masters/2024-australia/day-01/20241027_150054.jpg,,,,not_applicable,2024-10-27 15:00:54,landscape,QVB 上層長廊俯瞰機械大鐘與中庭,遠景模糊人潮,OK,body_wide,false,sydney-harbour-landscape,QVB 上層長廊俯瞰機械大鐘與中庭,false
20241027_172248,camera,masters/2024-australia/day-01/20241027_172248.jpg,,,,not_applicable,2024-10-27 17:22:48,landscape,雪梨歌劇院、港灣大橋與臨港階梯全景,無人物,OK,hero,false,sydney-harbour-landscape,雪梨歌劇院、港灣大橋與臨港階梯全景,false
20241028_092641,camera,masters/2024-australia/day-01/20241028_092641.jpg,,,,not_applicable,2024-10-28 09:26:41,portrait,作者坐在雪梨魚市場室內座位區,單人坐姿正面,OK,body_story,false,sydney-harbour-portrait,作者坐在雪梨魚市場室內座位區,false
20241028_092814,camera,masters/2024-australia/day-01/20241028_092814.jpg,,,,not_applicable,2024-10-28 09:28:14,portrait,魚市場展示架上整齊排列的生蠔,無人物,OK,body_story,false,sydney-harbour-portrait,魚市場展示架上整齊排列的生蠔,false
20241028_104501,camera,masters/2024-australia/day-01/20241028_104501.jpg,,,,not_applicable,2024-10-28 10:45:01,landscape,雪梨魚市場旁的碼頭、旗幟與水岸,散步遊客遠景,OK,body_wide,false,sydney-harbour-landscape,雪梨魚市場旁的碼頭、旗幟與水岸,false
20241028_104638,camera,masters/2024-australia/day-01/20241028_104638.jpg,,,,not_applicable,2024-10-28 10:46:38,portrait,作者站在企鵝展區入口與溫度顯示牌旁,無人物,OK,lightbox_only,false,sydney-harbour-portrait,作者站在企鵝展區入口與溫度顯示牌旁,false
20241028_105659,camera,masters/2024-australia/day-01/20241028_105659.jpg,,,,not_applicable,2024-10-28 10:56:59,portrait,作者在企鵝展區的冰雪造景前留影,單人坐姿,OK,body_story,false,sydney-harbour-portrait,作者在企鵝展區的冰雪造景前留影,false
20241028_105930,camera,masters/2024-australia/day-01/20241028_105930.jpg,,,,not_applicable,2024-10-28 10:59:30,portrait,水族館水槽裡攀附枝條的海馬,無人物,OK,lightbox_only,false,sydney-harbour-portrait,水族館水槽裡攀附枝條的海馬,false
20241028_111419,camera,masters/2024-australia/day-01/20241028_111419.jpg,,,,not_applicable,2024-10-28 11:14:19,portrait,作者站在水底隧道中仰望上方游過的魚群,隧道內遊客背影,OK,body_story,false,sydney-harbour-portrait,作者站在水底隧道中仰望上方游過的魚群,false
